subj.id,focal.id.old,date,time,gutt.score,right.hand,left.hand,both.hands,total,comments
Harley,737,2024.12.11,,0.2,0,3,0,3,
Naina,738,2024.12.11,,0.8,0,18,0,18,
Naina,738,2024.12.11,,0.2,0,4,0,4,
Bat,739,2024.12.11,,0.8,62,0,0,62,
Whitney,740,2024.12.11,,0.8,88,0,0,88,
Vula,741,2024.12.11,,0.2,0,1,0,1,
Naina,754,2024.11.14,,0.8,0,82,0,82,
Lip,755,2024.11.14,,0.8,0,101,0,101,
Granny,766,2024.11.16,,0.8,0,1,0,1,
Granny,766,2024.11.16,,0.2,0,2,0,2,
Ted,768,2024.11.16,8:31:43,0.6,1,0,0,1,
Ted,768,2024.11.16,8:35:59,0.6,1,0,0,1,
Bat,769,2024.11.18,,0.8,5,0,0,5,
Robin,770,2024.11.18,,0.8,0,1,0,1,
Dandi,771,2024.11.18,,0.2,0,1,0,1,
Babosa,782,2024.11.18,,0.8,6,15,0,21,
Babosa,782,2024.11.18,,0.2,1,0,0,1,
Jim_lim,783,2024.11.19,,0.2,0,1,0,1,
Pinky,793,2024.11.21,,0.2,0,1,0,1,
Betina,795,2024.11.21,,0.8,0,10,0,10,
Cacao,796,2024.11.21,,0.8,11,0,0,11,
Cacao,796,2024.11.21,,0.2,3,0,0,3,
Vula,797,2024.11.21,,0.8,0,30,0,30,
Babosa,798,2024.11.21,,0.8,2,0,0,2,
Yaiko,799,2024.11.21,,0.8,28,0,0,28,
Granny,802,2024.11.21,11:40:53,0.6,0,1,0,1,
Granny,802,2024.11.21,11:42:26,0.6,0,1,0,1,
Granny,802,2024.11.21,11:47:00,0.6,0,1,0,1,
Taipan,804,2024.11.21,,0.8,29,0,0,29,
